department,quarter,no_of_workers,defects_day,Total_Produced
T-Shirt,Quarter3,13.3,0.3,78.9
Gloves,Quarter1,66.4,2.5,661.5
Gloves,Quarter2,56.6,1.6,506.2
Sweatshirt,Quarter2,68.0,4.1,471.9
Sweatshirt,Quarter4,83.6,4.3,576.6
Gloves,Quarter2,54.4,6.0,483.6
Sweatshirt,Quarter4,35.7,4.5,165.0
Gloves,Quarter2,96.0,5.8,1038.6
Sweatshirt,Quarter2,88.4,3.4,520.2
T-Shirt,Quarter3,52.5,7.5,352.5
Gloves,Quarter1,67.2,2.6,532.4
Sweatshirt,Quarter2,85.6,3.6,588.4
T-Shirt,Quarter4,25.2,5.8,215.2
Gloves,Quarter1,80.9,2.6,720.3
T-Shirt,Quarter1,88.5,4.6,782.7
T-Shirt,Quarter3,84.5,5.2,575.9
Sweatshirt,Quarter1,53.5,9.9,301.2
Sweatshirt,Quarter4,94.3,3.9,369.4
Gloves,Quarter4,68.9,1.5,546.7
Gloves,Quarter1,95.7,4.7,847.2
Gloves,Quarter2,81.3,0.2,731.5
Sweatshirt,Quarter1,29.2,1.1,173.0
Sweatshirt,Quarter4,51.6,0.4,360.0
Gloves,Quarter4,27.1,4.4,230.7
Sweatshirt,Quarter2,97.5,6.3,578.7
Sweatshirt,Quarter3,69.8,4.8,344.2
T-Shirt,Quarter2,53.5,2.0,370.5
T-Shirt,Quarter1,87.1,7.6,768.7
T-Shirt,Quarter1,21.2,1.0,147.4
Gloves,Quarter2,46.9,6.6,496.1
Gloves,Quarter2,70.6,7.7,549.4
Sweatshirt,Quarter1,76.9,4.2,448.8
T-Shirt,Quarter4,64.2,8.7,440.7
T-Shirt,Quarter4,95.4,2.9,855.7
T-Shirt,Quarter4,80.2,9.9,702.0
T-Shirt,Quarter4,81.6,5.7,641.4
Gloves,Quarter3,77.1,4.8,766.2
Gloves,Quarter2,96.1,7.7,937.9
T-Shirt,Quarter1,19.4,9.8,135.6
Sweatshirt,Quarter3,43.0,8.2,190.4
T-Shirt,Quarter2,75.3,0.9,675.9
Sweatshirt,Quarter1,51.6,3.5,357.7
Sweatshirt,Quarter2,77.4,3.7,457.0
Gloves,Quarter4,70.7,3.6,629.1
Sweatshirt,Quarter1,98.7,1.3,589.6
T-Shirt,Quarter3,61.6,5.8,542.8
T-Shirt,Quarter4,27.2,1.3,186.5
Sweatshirt,Quarter2,53.5,0.8,320.2
Sweatshirt,Quarter2,20.1,9.6,81.3
Sweatshirt,Quarter1,67.9,9.2,330.3
T-Shirt,Quarter2,84.2,3.9,669.7
Gloves,Quarter1,76.8,4.3,836.2
Gloves,Quarter2,75.9,5.3,819.0
Gloves,Quarter4,34.2,6.7,356.1
T-Shirt,Quarter1,29.7,3.3,260.7
Sweatshirt,Quarter4,36.1,5.8,174.7
Sweatshirt,Quarter4,78.3,7.5,533.1
Gloves,Quarter4,75.7,1.6,831.1
T-Shirt,Quarter4,81.8,6.8,470.4
Sweatshirt,Quarter2,49.2,3.2,242.8
Gloves,Quarter3,57.3,0.6,513.9
T-Shirt,Quarter3,88.9,8.4,525.0
Gloves,Quarter2,68.3,3.8,679.2
Gloves,Quarter3,32.1,1.3,287.6
Sweatshirt,Quarter4,76.7,2.6,452.4
Sweatshirt,Quarter4,33.3,2.9,224.4
T-Shirt,Quarter4,29.6,9.5,149.1
T-Shirt,Quarter3,99.8,5.2,887.8
Sweatshirt,Quarter1,14.6,5.2,42.8
Gloves,Quarter2,24.6,1.2,193.2
T-Shirt,Quarter1,54.3,7.3,481.4
T-Shirt,Quarter3,43.0,1.7,340.6
T-Shirt,Quarter4,86.6,1.2,517.2
Sweatshirt,Quarter1,87.8,4.8,522.0
Gloves,Quarter3,15.2,3.2,160.8
Sweatshirt,Quarter1,89.8,8.4,342.4
Gloves,Quarter4,66.7,8.4,658.6
T-Shirt,Quarter3,23.7,7.1,192.0
Sweatshirt,Quarter4,48.0,0.2,239.6
Gloves,Quarter1,50.8,0.9,403.7
Gloves,Quarter1,53.2,3.3,419.0
T-Shirt,Quarter4,19.8,1.6,155.2
Sweatshirt,Quarter1,51.3,2.0,250.5
Sweatshirt,Quarter4,57.9,6.1,335.2
Sweatshirt,Quarter3,36.5,2.8,210.6
Sweatshirt,Quarter2,36.4,2.5,247.3
Sweatshirt,Quarter4,24.7,6.6,110.3
Gloves,Quarter2,68.0,7.8,520.6
T-Shirt,Quarter1,21.4,8.8,119.6
Gloves,Quarter3,65.1,7.9,505.0
Sweatshirt,Quarter3,79.9,1.0,477.4
T-Shirt,Quarter3,52.8,1.6,315.2
Sweatshirt,Quarter3,79.2,3.6,468.0
T-Shirt,Quarter2,75.6,9.3,671.1
T-Shirt,Quarter3,32.6,9.9,273.6
T-Shirt,Quarter1,66.6,8.0,391.6
T-Shirt,Quarter2,60.4,0.5,361.4
T-Shirt,Quarter2,76.3,3.7,603.0
Gloves,Quarter4,24.8,4.3,268.5
Gloves,Quarter4,12.1,1.1,93.5
Sweatshirt,Quarter3,81.1,3.5,320.9
T-Shirt,Quarter1,40.3,1.5,279.1
Sweatshirt,Quarter2,39.8,2.8,270.2
Sweatshirt,Quarter3,29.2,2.9,111.0
T-Shirt,Quarter3,32.8,7.2,288.0
Sweatshirt,Quarter3,58.8,5.2,342.4
T-Shirt,Quarter1,46.6,5.2,269.2
Gloves,Quarter1,63.5,4.6,689.3
Sweatshirt,Quarter2,74.7,4.5,369.0
Gloves,Quarter4,28.1,0.1,252.7
Sweatshirt,Quarter2,20.3,3.5,98.0
T-Shirt,Quarter2,34.5,9.4,282.3
Sweatshirt,Quarter3,33.5,3.7,197.3
Gloves,Quarter4,95.5,1.1,953.9
T-Shirt,Quarter2,38.9,8.7,224.7
T-Shirt,Quarter3,52.5,7.8,351.9
Gloves,Quarter1,69.4,4.2,685.6
T-Shirt,Quarter3,69.6,2.9,620.6
Gloves,Quarter1,70.5,2.8,628.9
Gloves,Quarter2,76.7,8.0,674.3
T-Shirt,Quarter1,70.2,9.9,471.6
T-Shirt,Quarter3,36.6,4.5,288.3
T-Shirt,Quarter4,43.5,5.1,245.7
Gloves,Quarter3,61.9,5.5,489.7
T-Shirt,Quarter2,79.0,8.9,605.3
T-Shirt,Quarter1,45.9,1.2,317.7
Gloves,Quarter1,35.9,4.9,282.3
Gloves,Quarter1,38.3,0.7,382.3
Gloves,Quarter1,79.1,1.3,710.6
T-Shirt,Quarter3,21.2,6.5,156.6
T-Shirt,Quarter4,87.3,5.6,687.2
Gloves,Quarter2,62.8,2.6,622.8
Gloves,Quarter4,78.9,9.2,770.6
T-Shirt,Quarter4,62.4,5.2,369.2
Sweatshirt,Quarter3,50.3,7.9,286.0
T-Shirt,Quarter2,10.8,6.0,74.4
Sweatshirt,Quarter1,41.9,4.1,205.4
Gloves,Quarter3,68.7,1.2,753.3
Gloves,Quarter1,83.7,2.7,918.0
Gloves,Quarter4,68.8,3.2,616.0
Sweatshirt,Quarter1,62.3,2.9,365.1
Gloves,Quarter3,61.7,8.0,539.3
T-Shirt,Quarter1,75.5,4.3,444.4
Gloves,Quarter2,89.4,7.6,789.4
T-Shirt,Quarter2,60.9,9.0,469.2
T-Shirt,Quarter3,64.2,8.7,432.0
Gloves,Quarter3,29.9,1.9,233.5
Sweatshirt,Quarter2,97.0,0.8,385.6
Sweatshirt,Quarter3,80.1,9.0,533.7
Gloves,Quarter1,63.8,5.0,623.0
T-Shirt,Quarter4,64.8,2.8,380.4
Sweatshirt,Quarter2,28.9,6.8,130.9
Sweatshirt,Quarter1,69.4,6.3,328.1
Sweatshirt,Quarter2,94.4,0.6,660.2
Sweatshirt,Quarter2,89.5,2.8,620.9
Sweatshirt,Quarter2,72.1,5.3,283.1
T-Shirt,Quarter1,23.7,6.5,135.7
Gloves,Quarter3,24.3,3.8,263.5
Gloves,Quarter3,40.8,6.0,320.4
Sweatshirt,Quarter3,36.6,1.2,255.0
T-Shirt,Quarter4,39.8,9.3,348.9
Gloves,Quarter3,98.3,0.1,884.4
Gloves,Quarter1,97.0,3.4,772.6
Gloves,Quarter2,12.7,5.4,108.9
Sweatshirt,Quarter3,42.3,9.4,192.7
Sweatshirt,Quarter4,68.8,0.9,411.0
T-Shirt,Quarter2,27.9,5.6,161.8
Sweatshirt,Quarter3,39.4,7.4,142.8
Gloves,Quarter4,43.2,3.5,468.2
Sweatshirt,Quarter4,43.4,3.9,299.9
Sweatshirt,Quarter3,77.2,1.4,383.2
Gloves,Quarter2,53.5,6.1,582.4
Sweatshirt,Quarter3,51.4,6.2,296.0
Gloves,Quarter1,85.6,2.5,765.4
Sweatshirt,Quarter3,89.9,6.5,616.3
Gloves,Quarter2,55.8,6.4,601.0
Sweatshirt,Quarter4,57.7,1.3,284.6
Gloves,Quarter2,73.1,0.3,583.9
Sweatshirt,Quarter1,14.2,7.0,78.4
Gloves,Quarter1,79.5,4.2,861.9
Gloves,Quarter3,45.1,4.7,486.7
Gloves,Quarter3,38.9,0.4,388.2
Gloves,Quarter3,89.6,8.6,959.8
Sweatshirt,Quarter4,68.7,7.9,319.8
T-Shirt,Quarter3,62.0,3.7,554.3
T-Shirt,Quarter1,26.6,8.0,178.2
Sweatshirt,Quarter1,19.6,7.5,83.0
Gloves,Quarter4,33.2,3.5,291.8
T-Shirt,Quarter2,90.4,1.3,538.5
Gloves,Quarter2,30.3,4.4,289.8
Sweatshirt,Quarter1,46.6,4.4,270.8
T-Shirt,Quarter2,42.2,1.0,294.4
Sweatshirt,Quarter1,50.4,8.7,225.9
Sweatshirt,Quarter4,46.6,6.6,313.0
Sweatshirt,Quarter1,41.1,2.8,156.0
Sweatshirt,Quarter3,20.8,6.1,106.5
Gloves,Quarter1,93.7,8.0,725.6
Sweatshirt,Quarter2,84.8,3.9,497.1
Sweatshirt,Quarter4,58.0,8.3,223.7
Sweatshirt,Quarter3,99.4,8.8,678.2
Gloves,Quarter4,75.1,3.4,672.5
T-Shirt,Quarter1,63.6,6.2,560.0
Sweatshirt,Quarter3,78.3,4.8,465.0
T-Shirt,Quarter2,84.2,5.7,662.2
T-Shirt,Quarter3,69.9,10.0,389.4
T-Shirt,Quarter4,85.5,7.7,754.1
T-Shirt,Quarter3,39.6,10.0,217.6
T-Shirt,Quarter1,27.5,4.7,155.6
T-Shirt,Quarter1,50.3,0.7,299.7
Sweatshirt,Quarter1,26.8,8.7,107.9
Sweatshirt,Quarter3,40.7,5.0,193.5
Sweatshirt,Quarter3,80.6,5.1,392.8
Sweatshirt,Quarter4,75.6,2.2,524.8
T-Shirt,Quarter2,11.9,4.7,57.3
Gloves,Quarter4,68.1,5.5,539.3
T-Shirt,Quarter4,11.7,1.5,103.8
Gloves,Quarter3,79.9,5.2,783.4
T-Shirt,Quarter3,79.8,8.8,470.0
Sweatshirt,Quarter2,55.2,1.6,272.8
Sweatshirt,Quarter2,75.8,4.9,288.5
Gloves,Quarter3,14.2,9.7,103.9
Sweatshirt,Quarter4,83.3,9.3,397.9
Sweatshirt,Quarter4,33.9,4.5,122.1
Sweatshirt,Quarter4,88.8,3.4,345.0
T-Shirt,Quarter3,78.2,6.0,697.8
T-Shirt,Quarter1,99.4,9.7,766.1
Sweatshirt,Quarter2,20.3,5.9,69.4
Sweatshirt,Quarter2,45.8,3.0,177.2
T-Shirt,Quarter2,88.0,3.5,788.5
T-Shirt,Quarter3,44.6,2.2,394.8
T-Shirt,Quarter3,45.6,4.1,306.9
Sweatshirt,Quarter3,46.2,4.7,314.0
Sweatshirt,Quarter1,32.2,6.2,219.2
Gloves,Quarter2,80.0,6.9,633.1
Sweatshirt,Quarter3,10.3,2.6,66.9
T-Shirt,Quarter1,50.6,8.8,327.8
Sweatshirt,Quarter1,30.6,5.0,178.6
Sweatshirt,Quarter2,59.6,8.6,221.2
Gloves,Quarter2,87.3,7.0,778.7
Sweatshirt,Quarter3,74.1,5.2,439.4
Gloves,Quarter3,82.8,2.9,739.4
T-Shirt,Quarter2,57.3,0.2,458.0
Sweatshirt,Quarter2,90.5,8.6,616.3
Gloves,Quarter2,31.2,3.8,242.0
T-Shirt,Quarter4,43.1,1.7,298.3
Gloves,Quarter3,53.6,0.3,428.5
Sweatshirt,Quarter1,34.4,3.4,134.2
Gloves,Quarter4,21.2,5.0,202.0
T-Shirt,Quarter3,92.3,6.0,634.1
T-Shirt,Quarter3,45.1,8.8,244.2
Sweatshirt,Quarter3,43.3,4.2,247.2
T-Shirt,Quarter3,13.2,1.5,102.6
Gloves,Quarter3,91.1,4.0,720.8
Sweatshirt,Quarter4,77.9,7.1,297.4
Sweatshirt,Quarter2,69.8,7.3,404.2
Sweatshirt,Quarter3,87.4,6.8,430.2
Gloves,Quarter4,67.7,0.8,540.8
T-Shirt,Quarter2,15.1,2.4,116.0
Sweatshirt,Quarter2,16.4,4.4,68.8
Sweatshirt,Quarter2,16.3,7.8,74.4
Gloves,Quarter1,30.0,9.5,230.5
T-Shirt,Quarter3,64.8,2.3,513.8
Gloves,Quarter1,49.1,6.9,533.2
Gloves,Quarter3,70.6,7.0,628.4
T-Shirt,Quarter3,72.9,6.8,489.9
T-Shirt,Quarter2,74.6,2.0,592.8
Sweatshirt,Quarter1,27.5,9.5,109.0
Sweatshirt,Quarter3,12.9,8.5,68.9
T-Shirt,Quarter2,18.1,6.4,143.7
Sweatshirt,Quarter3,78.4,7.3,291.7
T-Shirt,Quarter4,10.5,9.0,75.0
T-Shirt,Quarter4,88.6,5.6,520.4
Sweatshirt,Quarter1,60.6,0.6,362.4
Gloves,Quarter2,53.8,3.2,481.0
Sweatshirt,Quarter1,49.7,8.3,331.3
T-Shirt,Quarter1,62.6,6.2,551.0
T-Shirt,Quarter2,60.3,8.9,473.5
Sweatshirt,Quarter1,79.5,5.6,380.7
T-Shirt,Quarter4,71.0,7.2,411.6
Sweatshirt,Quarter3,60.8,8.0,340.8
Gloves,Quarter4,77.1,8.3,669.0
Sweatshirt,Quarter3,19.6,3.6,114.0
Gloves,Quarter4,74.0,0.4,739.2
Gloves,Quarter1,84.2,3.9,830.3
Gloves,Quarter3,62.7,7.7,611.6
Sweatshirt,Quarter2,13.3,9.4,74.3
Sweatshirt,Quarter1,63.4,4.4,371.6
Sweatshirt,Quarter4,91.4,6.5,541.9
T-Shirt,Quarter2,60.7,5.2,470.0
Sweatshirt,Quarter4,80.8,5.3,549.7
T-Shirt,Quarter4,45.3,6.3,265.5
Gloves,Quarter2,89.2,1.6,890.4
T-Shirt,Quarter1,75.4,6.5,439.4
Sweatshirt,Quarter2,70.5,3.2,272.4
T-Shirt,Quarter2,84.7,4.2,673.4
Sweatshirt,Quarter4,82.2,0.3,410.4
Gloves,Quarter1,78.0,4.2,693.6
T-Shirt,Quarter4,39.5,4.7,346.1
Sweatshirt,Quarter1,42.8,9.7,204.3
Sweatshirt,Quarter2,20.1,3.9,88.8
Gloves,Quarter2,77.1,5.1,760.8
Gloves,Quarter4,44.0,3.5,473.5
Sweatshirt,Quarter4,19.2,7.3,81.4
Gloves,Quarter3,74.6,2.9,662.7
Gloves,Quarter4,32.1,3.9,245.1
Sweatshirt,Quarter3,65.9,4.6,249.8
Gloves,Quarter2,13.7,6.8,89.2
T-Shirt,Quarter2,87.3,4.3,510.9
Sweatshirt,Quarter2,88.9,1.1,530.1
Gloves,Quarter3,86.4,2.4,856.8
T-Shirt,Quarter1,73.6,1.7,585.4
Gloves,Quarter2,75.8,2.1,680.1
Gloves,Quarter1,56.5,8.5,443.5
T-Shirt,Quarter4,33.4,0.7,232.4
Gloves,Quarter2,96.1,0.6,767.0
Sweatshirt,Quarter3,37.0,8.3,123.1
T-Shirt,Quarter4,78.7,9.7,541.2
Gloves,Quarter1,72.9,7.6,713.8
Gloves,Quarter1,91.3,8.7,704.3
T-Shirt,Quarter1,69.5,2.1,619.2
Sweatshirt,Quarter1,51.5,4.9,252.6
T-Shirt,Quarter1,24.2,9.8,208.0
Sweatshirt,Quarter4,77.1,3.3,456.0
Sweatshirt,Quarter4,76.8,1.6,534.4
Gloves,Quarter2,14.1,7.9,103.2
Sweatshirt,Quarter2,36.3,2.6,137.4
T-Shirt,Quarter1,43.5,7.9,280.8
T-Shirt,Quarter3,29.3,0.7,175.1
Sweatshirt,Quarter3,97.4,7.3,659.9
Sweatshirt,Quarter2,12.0,3.9,48.3
Gloves,Quarter3,67.7,1.3,537.7
Gloves,Quarter4,57.0,8.6,495.8
T-Shirt,Quarter2,43.8,7.6,379.0
T-Shirt,Quarter1,82.3,5.6,647.2
Gloves,Quarter1,23.6,9.3,193.8
Gloves,Quarter4,99.8,7.3,883.6
T-Shirt,Quarter4,31.5,4.6,269.7
Gloves,Quarter2,13.4,5.8,122.4
T-Shirt,Quarter2,20.8,2.3,164.1
Gloves,Quarter2,61.3,4.7,542.3
Sweatshirt,Quarter2,72.0,0.2,287.8
T-Shirt,Quarter4,79.1,3.2,544.1
Gloves,Quarter3,64.8,3.6,709.2
Sweatshirt,Quarter2,36.6,1.8,254.4
Gloves,Quarter1,78.8,2.3,625.8
Sweatshirt,Quarter1,16.4,8.7,55.9
T-Shirt,Quarter2,96.2,0.3,576.3
T-Shirt,Quarter2,59.4,0.6,474.0
Gloves,Quarter3,70.3,6.9,759.5
Gloves,Quarter1,29.9,9.6,319.3
Gloves,Quarter4,66.5,2.3,724.6
Gloves,Quarter4,76.5,2.3,607.4
Sweatshirt,Quarter4,48.3,9.0,311.1
Sweatshirt,Quarter1,65.4,3.2,323.8
Gloves,Quarter4,15.1,6.5,159.6
T-Shirt,Quarter1,29.5,2.6,228.2
Gloves,Quarter1,49.1,0.4,392.4
Gloves,Quarter4,92.5,3.9,828.6
Sweatshirt,Quarter4,23.5,2.2,87.4
Sweatshirt,Quarter1,34.5,1.1,171.4
T-Shirt,Quarter4,84.9,5.9,497.6
Gloves,Quarter2,70.6,3.8,694.6
T-Shirt,Quarter1,86.0,8.2,491.4
Sweatshirt,Quarter4,40.1,5.6,189.3
Gloves,Quarter2,75.0,3.8,821.2
Gloves,Quarter4,23.0,1.2,250.6
Sweatshirt,Quarter4,55.3,4.9,317.1
Sweatshirt,Quarter3,53.7,9.7,346.8
Gloves,Quarter4,97.9,8.7,952.9
Sweatshirt,Quarter3,38.3,1.6,266.5
Gloves,Quarter2,76.1,1.5,835.6
T-Shirt,Quarter3,56.7,0.4,395.7
Gloves,Quarter1,35.8,3.7,318.5
Sweatshirt,Quarter2,69.5,1.0,483.5
T-Shirt,Quarter4,24.5,4.8,132.6
Sweatshirt,Quarter2,74.8,6.1,442.7
T-Shirt,Quarter3,13.1,9.0,86.8
T-Shirt,Quarter2,81.4,6.4,713.4
Gloves,Quarter2,82.2,2.6,734.6
T-Shirt,Quarter2,32.1,7.2,249.6
Sweatshirt,Quarter2,68.8,9.9,255.4
T-Shirt,Quarter3,32.0,1.3,189.4
Gloves,Quarter1,48.2,8.3,505.3
T-Shirt,Quarter1,82.7,5.7,732.9
T-Shirt,Quarter2,68.9,1.8,408.0
Gloves,Quarter1,62.1,5.4,677.7
Sweatshirt,Quarter2,56.6,1.3,281.7
Gloves,Quarter3,10.1,8.4,72.4
Sweatshirt,Quarter3,74.0,0.5,369.5
T-Shirt,Quarter3,26.0,2.1,177.8
Gloves,Quarter2,61.0,5.3,477.4
Gloves,Quarter3,79.8,8.7,851.7
Sweatshirt,Quarter4,79.3,4.9,466.0
Sweatshirt,Quarter4,67.4,2.9,263.8
T-Shirt,Quarter2,58.1,2.7,340.5
Sweatshirt,Quarter1,32.6,6.8,182.0
Sweatshirt,Quarter3,99.8,6.6,592.2
Gloves,Quarter1,54.0,1.7,482.6
T-Shirt,Quarter1,56.5,8.1,427.7
T-Shirt,Quarter3,50.0,2.7,391.9
Sweatshirt,Quarter4,52.9,6.2,193.0
Gloves,Quarter4,14.5,3.2,156.3
Gloves,Quarter1,86.0,9.9,830.3
Gloves,Quarter1,89.4,3.7,800.9
Gloves,Quarter1,48.3,9.5,425.2
T-Shirt,Quarter2,44.8,6.2,250.2
Gloves,Quarter3,67.6,8.0,600.4
Gloves,Quarter4,98.7,6.4,875.5
Sweatshirt,Quarter4,62.3,9.9,219.5
Sweatshirt,Quarter4,24.6,9.7,162.5
T-Shirt,Quarter4,62.1,5.2,367.4
Gloves,Quarter1,13.3,2.7,101.0
Gloves,Quarter2,65.1,5.2,640.6
Sweatshirt,Quarter4,62.9,9.1,305.4
Sweatshirt,Quarter3,68.7,9.7,324.1
T-Shirt,Quarter1,77.2,8.6,523.2
T-Shirt,Quarter3,52.4,2.6,469.0
Gloves,Quarter2,45.8,2.9,409.3
T-Shirt,Quarter4,69.8,8.2,464.0
T-Shirt,Quarter4,50.1,3.7,447.2
T-Shirt,Quarter2,33.1,1.9,194.8
Gloves,Quarter3,77.9,4.9,613.4
Gloves,Quarter4,97.7,8.8,755.2
Gloves,Quarter1,89.6,4.8,796.8
Gloves,Quarter1,36.2,1.0,359.0
T-Shirt,Quarter2,37.8,1.4,225.4
Sweatshirt,Quarter1,19.3,5.9,129.2
Sweatshirt,Quarter1,49.7,10.0,278.2
Gloves,Quarter2,92.4,2.1,737.1
Gloves,Quarter2,64.0,6.6,556.2
Gloves,Quarter2,34.4,4.8,260.8
Sweatshirt,Quarter3,97.2,4.1,570.9
Gloves,Quarter1,86.5,6.4,852.2
Gloves,Quarter4,48.7,7.9,430.4
Sweatshirt,Quarter2,89.4,5.0,610.8
Gloves,Quarter1,39.1,9.7,332.5
T-Shirt,Quarter4,53.1,6.9,457.2
Sweatshirt,Quarter4,88.2,7.5,602.4
T-Shirt,Quarter3,75.7,1.4,678.5
Gloves,Quarter3,18.9,5.3,197.3
T-Shirt,Quarter3,29.8,4.9,258.4
Gloves,Quarter1,22.9,0.7,250.5
Sweatshirt,Quarter1,64.9,2.8,386.6
T-Shirt,Quarter3,99.3,5.3,679.2
Sweatshirt,Quarter1,53.8,7.1,308.6
Gloves,Quarter2,35.3,1.4,278.2
Sweatshirt,Quarter2,53.7,7.9,352.2
Sweatshirt,Quarter4,14.7,2.8,50.4
Sweatshirt,Quarter3,20.6,8.7,73.7
Sweatshirt,Quarter3,92.4,8.9,360.7
T-Shirt,Quarter3,84.5,9.5,563.0
Gloves,Quarter4,62.6,3.1,679.3
T-Shirt,Quarter3,31.3,3.8,207.7
T-Shirt,Quarter1,69.4,4.0,481.8
Sweatshirt,Quarter4,28.2,1.4,166.4
Gloves,Quarter4,11.2,0.9,99.0
T-Shirt,Quarter1,75.5,6.1,673.4
Sweatshirt,Quarter1,37.9,4.0,253.3
T-Shirt,Quarter1,93.0,2.6,645.8
Sweatshirt,Quarter1,68.1,5.6,329.3
T-Shirt,Quarter1,52.0,4.6,354.8
Sweatshirt,Quarter3,59.8,3.9,295.1
T-Shirt,Quarter3,54.5,7.6,420.8
Sweatshirt,Quarter2,43.4,3.0,170.6
Gloves,Quarter1,40.1,9.6,301.6
T-Shirt,Quarter1,33.7,3.2,300.1
Gloves,Quarter1,17.0,2.2,148.6
T-Shirt,Quarter2,73.4,0.5,512.8
Sweatshirt,Quarter4,69.6,7.3,395.7
Sweatshirt,Quarter2,66.5,2.4,330.1
T-Shirt,Quarter1,42.5,5.5,377.0
T-Shirt,Quarter2,27.8,5.0,179.6
Gloves,Quarter3,98.2,4.7,967.9
T-Shirt,Quarter1,62.5,3.6,489.2
Sweatshirt,Quarter2,61.3,8.9,358.9
Gloves,Quarter4,72.5,3.3,642.6
Gloves,Quarter3,69.8,1.9,765.9
T-Shirt,Quarter4,77.2,8.9,513.7
Sweatshirt,Quarter1,63.3,7.6,427.9
T-Shirt,Quarter1,67.5,4.5,535.5
T-Shirt,Quarter3,39.1,5.8,295.4
Gloves,Quarter3,40.8,0.3,407.7
Gloves,Quarter2,78.9,1.4,708.7
Sweatshirt,Quarter4,93.7,7.6,648.3
Sweatshirt,Quarter2,77.1,9.1,512.4
Sweatshirt,Quarter4,14.5,8.6,55.3
Gloves,Quarter3,63.2,5.0,490.6
Sweatshirt,Quarter2,41.6,7.1,159.3
Gloves,Quarter1,69.8,0.8,626.6
T-Shirt,Quarter3,76.6,4.9,607.9
T-Shirt,Quarter1,36.9,5.3,284.6
T-Shirt,Quarter4,96.3,9.5,838.2
T-Shirt,Quarter2,66.2,8.0,521.6
Gloves,Quarter1,73.4,9.0,642.6
T-Shirt,Quarter4,37.1,8.6,288.2
Sweatshirt,Quarter2,78.7,8.7,524.8
Sweatshirt,Quarter1,23.2,0.5,160.9
Gloves,Quarter3,52.2,5.6,412.0
Sweatshirt,Quarter4,46.4,6.4,219.2
Gloves,Quarter1,44.6,8.5,348.3
Sweatshirt,Quarter4,59.9,3.9,287.8
Gloves,Quarter3,14.6,3.6,113.2
Sweatshirt,Quarter2,83.2,7.1,477.9
Sweatshirt,Quarter3,21.8,0.2,108.8
Sweatshirt,Quarter4,34.6,3.3,197.7
Sweatshirt,Quarter1,36.0,1.6,139.2
T-Shirt,Quarter3,30.4,0.8,240.8
T-Shirt,Quarter1,24.5,7.3,132.4
Gloves,Quarter2,87.1,7.7,855.6
Sweatshirt,Quarter2,63.4,5.6,305.8
Sweatshirt,Quarter1,81.0,0.5,565.5
Gloves,Quarter1,93.1,2.7,925.6
Gloves,Quarter1,36.7,9.4,348.2
Gloves,Quarter4,61.6,9.4,587.8
T-Shirt,Quarter3,13.6,8.5,91.8
Gloves,Quarter3,73.4,7.4,792.6
Sweatshirt,Quarter4,42.0,4.1,159.8
Gloves,Quarter3,83.0,1.8,745.2
T-Shirt,Quarter1,40.1,8.5,312.3
Gloves,Quarter1,91.2,8.1,721.5
T-Shirt,Quarter2,54.0,2.3,427.4
T-Shirt,Quarter4,31.8,5.1,281.1
T-Shirt,Quarter1,76.7,8.8,681.5
Gloves,Quarter2,73.7,7.2,641.7
Sweatshirt,Quarter4,67.4,7.0,397.4
Sweatshirt,Quarter2,17.4,3.6,100.8
Sweatshirt,Quarter1,63.7,0.6,254.2
Gloves,Quarter2,85.4,0.1,682.9
Gloves,Quarter3,12.4,6.1,130.3
Sweatshirt,Quarter2,37.0,6.5,215.5
Sweatshirt,Quarter3,65.1,8.7,447.0
Sweatshirt,Quarter3,24.0,8.2,87.8
Sweatshirt,Quarter3,56.3,6.6,268.3
T-Shirt,Quarter4,76.2,5.5,446.2
Gloves,Quarter1,33.6,6.0,256.8
Gloves,Quarter2,90.8,0.3,907.7
Sweatshirt,Quarter4,32.1,2.7,184.5
Sweatshirt,Quarter4,16.2,8.1,72.9
T-Shirt,Quarter2,26.1,2.5,177.7
T-Shirt,Quarter3,44.7,3.9,398.4
T-Shirt,Quarter4,33.1,0.0,297.9
Sweatshirt,Quarter4,29.4,0.7,145.6
T-Shirt,Quarter1,88.7,2.0,796.3
Sweatshirt,Quarter4,65.1,1.3,322.9
T-Shirt,Quarter3,13.1,5.5,106.9
Sweatshirt,Quarter3,16.2,1.0,111.4
Gloves,Quarter1,75.2,2.1,674.7
Sweatshirt,Quarter3,64.5,7.0,315.5
Gloves,Quarter4,45.6,8.9,355.9
Gloves,Quarter4,61.7,7.0,610.0
T-Shirt,Quarter3,45.2,8.9,244.5
Gloves,Quarter4,59.1,3.6,580.2
T-Shirt,Quarter1,96.5,0.3,578.4
Sweatshirt,Quarter4,27.0,6.0,150.0
T-Shirt,Quarter3,36.6,9.6,319.8
T-Shirt,Quarter4,40.6,9.9,213.9
Gloves,Quarter1,64.9,0.2,583.7
Sweatshirt,Quarter2,73.8,6.1,430.6
Sweatshirt,Quarter3,67.4,0.9,266.9
Gloves,Quarter4,98.0,0.5,881.5
Sweatshirt,Quarter4,42.7,1.2,167.2
Sweatshirt,Quarter3,88.5,6.5,518.0
T-Shirt,Quarter4,76.9,9.3,433.5
Sweatshirt,Quarter3,12.9,0.4,76.2
Gloves,Quarter4,25.9,9.9,275.0
